Acc_X,Acc_Y,Acc_Z,AngV_X,AngV_Y,AngV_Z,Mag_X,Mag_Y,Mag_Z,Orin_X,Orin_Y,Orin_Z,Activity
0.62525,3.028053,8.12705,-0.024235,0.104765,0.050911,-12.815176,-27.512665,-37.424511,-159.472607,-21.407789,0.936326,Walking
0.840951,2.509531,9.603729,-0.15729,0.027037,0.10374,-12.957493,-27.182724,-37.636486,-159.786132,-20.996615,0.928067,Walking
-0.066611,3.4144,10.397379,-0.241484,0.097689,-0.112312,-12.589054,-26.847298,-38.036999,-159.60993,-20.263196,1.354728,Walking
0.005838,3.286566,9.390123,0.030449,0.089852,0.080116,-12.597731,-26.667503,-37.967243,-159.782621,-20.191512,1.553906,Walking
-0.498014,3.541635,10.102641,0.144936,0.197166,0.043171,-12.344994,-27.008026,-37.62553,-159.898916,-20.593169,2.035465,Walking
-0.639171,4.119134,9.181008,0.22401,-0.032525,0.244718,-12.236172,-27.544804,-37.488461,-160.542866,-21.173611,1.891801,Walking
-0.865051,2.928959,11.011252,-0.410847,-0.147898,0.64369,-13.483709,-26.832722,-37.726772,-162.399027,-20.225548,0.83771,Walking
0.945284,1.289718,10.523267,-0.931779,-0.044767,0.967555,-14.596136,-24.623184,-38.754604,-165.165193,-17.68669,-0.188865,Walking
0.122745,2.651137,8.692274,0.039685,-0.188715,0.231022,-15.47258,-23.967449,-38.684063,-166.104144,-17.480479,-0.924185,Walking
-0.07694,2.80831,8.219707,0.235131,0.02808,-0.028042,-15.290407,-24.352978,-38.538776,-165.921828,-18.062077,-0.805908,Walking
-0.07215,2.589615,10.193353,-0.333996,0.274008,-0.12452,-14.672798,-24.314297,-38.714314,-165.459096,-17.358051,0.006247,Walking
-0.501457,3.038531,9.038504,-0.017542,0.186089,-0.19154,-14.041607,-24.207748,-38.778515,-164.837806,-17.124357,0.798724,Walking
-1.201102,2.894082,9.81943,0.129395,0.077519,-0.20728,-13.514318,-24.972298,-38.459072,-164.072089,-17.457603,1.170268,Walking
-1.354533,2.744692,10.210118,0.048723,0.059488,-0.093907,-13.323233,-25.240135,-38.581898,-163.618295,-17.608546,1.428751,Walking
-0.92792,2.682721,9.294771,0.226383,-0.216819,0.093884,-13.485313,-25.653996,-38.331394,-163.671926,-18.194894,0.900513,Walking
0.104782,1.801504,10.754686,0.053462,-0.340873,0.313407,-14.521563,-25.727837,-37.840099,-164.323529,-18.43953,-0.264734,Walking
-0.599803,2.152973,9.931398,0.241786,-0.213896,0.017515,-14.758301,-26.025288,-37.175816,-164.336028,-18.970866,-0.873777,Walking
0.145198,1.642684,12.312496,-0.199692,0.161742,-0.094185,-14.57979,-26.008739,-37.408909,-163.856535,-18.672199,-0.487854,Walking
0.440833,1.567091,8.706644,0.057364,-0.229023,-0.129304,-14.818716,-26.303947,-37.167583,-163.354398,-18.672636,-0.817777,Walking
0.26914,2.637366,8.075407,0.511334,-0.604702,-0.440667,-15.35112,-27.435501,-36.070194,-161.980101,-20.062339,-2.176533,Walking
-0.359552,2.855612,9.381292,0.293151,0.186131,-0.191263,-14.71007,-28.132671,-35.613293,-161.127212,-20.920633,-1.667819,Walking
-0.34638,2.436483,11.539354,-0.266956,0.197843,0.286013,-14.582542,-28.097919,-36.042477,-161.64835,-20.362002,-1.356111,Walking
-1.006507,2.390978,10.912457,-0.231314,0.306941,0.679891,-14.966133,-26.899242,-36.711819,-163.440572,-19.578062,-1.135218,Walking
-0.977318,2.849325,7.813452,0.280366,-0.355792,0.849017,-16.377979,-26.922749,-36.310894,-165.80911,-20.119167,-2.737477,Walking
-1.021326,2.497556,9.670939,-0.009699,0.169655,1.287353,-18.017757,-25.767048,-36.046001,-169.423454,-20.021275,-3.809718,Walking
-1.095871,2.173181,9.760752,0.056575,0.574224,1.713481,-18.946302,-24.408478,-36.381763,-174.342939,-19.819219,-3.896601,Walking
-2.414778,2.231559,11.427836,0.261519,0.839625,1.930296,-20.128172,-22.508625,-37.093243,179.974143,-20.087068,-3.599154,Walking
-2.908901,1.238974,11.2765,0.263835,1.204514,2.5071,-20.775803,-20.477085,-37.794415,172.591686,-20.43645,-2.768709,Walking
-1.847907,-0.11526,10.751692,-0.002878,0.833333,3.163396,-22.260557,-17.184334,-38.844318,163.232789,-20.032367,-3.568577,Walking
-1.325045,-0.686323,9.455986,0.198109,0.642634,3.521114,-23.742228,-13.421964,-39.646809,152.58652,-19.715315,-5.170248,Walking
-1.26487,-0.96654,10.793156,0.202776,1.355388,3.631753,-23.37789,-9.435798,-40.705807,141.620146,-19.296165,-5.231007,Walking
-0.521665,-1.211581,10.949431,0.067123,1.553542,3.752561,-22.002958,-5.193188,-42.564808,130.319405,-18.59187,-4.445292,Walking
-0.999621,-0.961301,13.202545,-0.203615,1.794349,3.583843,-19.181761,-1.311351,-44.368069,119.479201,-17.465444,-2.896719,Walking
0.049248,-0.501008,10.058034,-0.060205,1.243156,3.483824,-15.840645,1.977085,-45.619793,109.084474,-16.743093,-2.062388,Walking
0.536933,-0.08652,9.166039,-0.117572,0.690854,3.23024,-13.714024,4.504661,-46.564655,99.43787,-16.089493,-2.658982,Walking
-0.079036,0.891696,9.08371,0.17532,0.8617,2.980789,-10.445269,6.492659,-47.224026,90.449141,-16.053831,-2.722146,Walking
-0.380509,0.716859,10.273287,0.016018,1.021367,3.028388,-7.335209,7.549943,-47.691967,81.518167,-15.779826,-2.271944,Walking
-0.275427,0.536484,11.020682,-0.33571,1.048577,3.255267,-3.77478,9.034077,-47.813282,71.998976,-14.583336,-1.816769,Walking
0.575703,0.643212,11.059302,-0.251878,0.821336,3.334359,-0.40617,9.642396,-47.927181,62.309841,-13.549253,-1.808799,Walking
1.729054,0.904569,10.964549,-0.183211,0.619506,3.060563,2.402523,9.929238,-48.073513,53.385748,-12.737925,-1.97133,Walking
1.688339,2.274221,10.946137,-0.020655,0.556855,2.482387,4.932953,9.088409,-47.971714,45.995923,-12.366665,-1.994537,Walking
2.626139,2.833607,10.512489,0.32969,0.263015,1.904412,6.30595,7.894063,-48.062634,40.355851,-13.009777,-2.320982,Walking
1.820814,2.551744,11.942915,0.259541,0.711184,1.175156,8.144581,6.682224,-47.768154,36.760089,-13.652185,-1.305274,Walking
1.924099,2.094744,9.369316,0.943532,0.718706,0.784037,9.960785,4.63488,-47.76704,34.488923,-16.029338,0.169803,Walking
2.119443,2.711611,8.59797,0.71705,-0.080164,0.674283,10.494434,1.816892,-47.491261,32.583249,-18.219516,-0.39233,Walking
1.050965,3.09691,10.289154,0.528057,0.471887,0.653317,11.372715,0.189424,-47.444988,30.665676,-19.682994,-0.007027,Walking
1.646426,2.313888,10.43031,0.196924,0.09084,0.920431,11.732113,-0.890899,-47.249226,28.072401,-20.448772,-0.47712,Walking
0.805625,3.227139,8.894653,0.57322,-0.190936,0.691037,11.216354,-2.618668,-47.058193,25.889062,-21.824939,-1.812441,Walking
0.215552,3.410358,7.12189,0.754025,-0.007879,0.735532,11.314709,-4.575294,-46.981205,23.608868,-23.838162,-2.749518,Walking
0.154928,3.274291,7.712262,0.296753,-0.133128,0.912787,10.684002,-6.063515,-46.664814,20.833441,-24.724341,-4.257798,Walking
0.639321,3.603606,6.027965,0.177151,-0.315184,1.070502,9.981983,-6.785987,-46.918217,17.575285,-24.837655,-6.470753,Walking
2.718048,3.194956,7.988887,-0.545975,-0.856151,1.122886,7.917629,-6.545255,-47.142941,14.389514,-23.263823,-10.055641,Walking
0.999472,4.543202,9.597891,-0.249595,0.507054,0.584587,7.999546,-6.031367,-47.378399,12.55005,-21.967157,-9.797684,Walking
1.970203,4.020938,9.578282,0.006847,0.851924,0.597578,9.952579,-6.087005,-46.833508,10.885969,-21.683398,-8.042416,Walking
1.628613,3.987857,9.748029,-0.453616,0.361639,0.64354,10.806061,-5.712799,-46.442379,9.103273,-20.294101,-7.480287,Walking
1.187032,2.971171,11.538007,-0.698853,0.560905,0.709427,11.844219,-4.563992,-46.072567,7.281711,-18.189398,-6.491825,Walking
1.060694,2.835703,11.297008,-0.668852,0.650662,0.714106,13.228947,-3.550972,-45.744396,5.390699,-15.976844,-5.198437,Walking
0.479303,3.508704,9.564061,-0.029635,0.280541,0.442419,13.957458,-3.378949,-45.929157,4.049551,-15.570283,-4.675155,Walking
-0.301473,3.672463,9.100925,0.184417,0.169529,0.416777,14.123848,-3.927804,-45.288296,2.783623,-15.95239,-4.432587,Walking
0.117955,2.920427,9.712403,-0.133235,0.376605,0.635416,14.923588,-4.054007,-45.082241,1.032883,-15.564505,-3.944593,Walking
-0.195643,3.415747,8.180189,0.312676,0.092204,0.609645,15.182407,-5.046355,-44.582737,-0.818458,-16.13957,-4.000327,Walking
-0.57226,3.451373,9.340277,0.210777,0.354253,0.547036,15.835228,-5.443288,-44.473339,-2.423811,-16.660083,-3.529218,Walking
-0.931513,3.653004,10.285711,0.138173,0.414934,0.627555,16.535503,-6.397646,-43.798077,-4.231197,-16.957521,-2.867342,Walking
-0.097896,3.262915,10.447674,-0.011644,0.313518,0.756354,16.908699,-6.602122,-43.623539,-6.335563,-16.888482,-2.566202,Walking
0.304916,3.961662,10.644964,0.287478,0.413795,0.553375,17.609966,-7.652717,-43.212452,-8.013179,-17.532739,-1.9608,Walking
0.664169,4.322711,9.593999,0.387358,0.367829,0.319443,18.10173,-8.248677,-42.551655,-8.921003,-18.547902,-1.17168,Walking
1.217718,2.93839,12.506343,0.060124,0.773943,0.24568,19.217445,-8.689494,-42.29179,-9.510683,-18.908263,0.531545,Walking
3.166665,1.692979,9.11769,-0.026729,0.225007,0.300151,19.774586,-8.513366,-41.762486,-10.22651,-18.785771,1.128259,Walking
2.33724,2.502496,8.284073,0.530843,-0.144956,-0.411875,19.541721,-9.292432,-42.008236,-9.027734,-20.209382,1.001146,Walking
1.032852,3.201393,8.610694,0.413182,0.068237,-0.743485,20.03157,-9.454299,-41.736637,-6.574152,-21.32751,2.035168,Walking
-0.13936,2.887795,12.163855,-0.151131,0.621881,-0.693608,20.937916,-8.423884,-41.295002,-4.160955,-21.037602,4.287449,Walking
0.181123,2.887495,9.444011,0.182034,0.060814,-0.470935,21.787197,-8.118146,-40.997997,-2.312942,-21.194654,5.400359,Walking
0.14894,2.71206,8.289761,0.31164,-0.446187,-0.359926,21.006893,-8.137753,-41.156269,-0.819824,-21.921117,4.682879,Walking
-0.537682,3.035837,9.570797,0.175856,-0.27612,-0.370349,20.735252,-8.149417,-41.567066,0.574588,-22.421387,4.297353,Walking
-0.343985,2.814447,9.395362,0.335719,-0.146924,-0.179395,20.520634,-8.622581,-41.683887,1.440248,-23.261981,4.089619,Walking
-0.822989,2.929408,9.931398,0.391761,-0.226227,-0.103972,20.012691,-9.285783,-41.793499,2.030753,-24.353048,3.622801,Walking
